n;avrage max length of a cycle in a permutation
1;1
2;1.50425
3;2.167875
4;2.78375
5;3.418875
6;4.0465
7;4.65325
8;5.30025
9;5.912875
10;6.588375
11;7.126375
12;7.80125
13;8.46875
14;9.037875
15;9.673125
16;10.322
17;10.91425
18;11.565125
19;12.1855
20;12.780875
21;13.32975
22;14.055
23;14.725375
24;15.30575
25;15.961875
26;16.483625
27;17.179625
28;17.764875
29;18.404125
30;18.981
31;19.61375
32;20.29375
33;20.9085
34;21.419875
35;22.163125
36;22.82975
37;23.38225
38;23.853375
39;24.5235
40;25.186625
41;26.003375
42;26.6165
43;27.26875
44;27.7045
45;28.3015
46;29.1645
47;29.57
48;30.326
49;30.756375
50;31.3865
51;32.022625
52;32.787375
53;33.551375
54;34.03775
55;34.605125
56;35.07725
57;35.72425
58;36.618125
59;37.247
60;37.746875
61;38.116875
62;38.92975
63;39.525625
64;40.527625
65;40.67425
66;41.458
67;42.057375
68;42.695375
69;43.494
70;43.810125
71;44.624
72;45.33075
73;45.908625
74;46.424875
75;47.10725
76;47.69
77;48.348625
78;48.84325
79;49.522
80;50.287875
81;50.8445
82;51.479375
83;52.17725
84;52.893
85;53.060625
86;53.891375
87;54.575875
88;55.5695
89;55.86225
90;56.668625
91;57.57175
92;57.717625
93;58.547875
94;58.982625
95;59.911375
96;60.20825
97;61.13525
98;61.31025
99;62.184125
100;62.718375
